Ridge Predictions,Lasso Predictions
806084.4262411187,805871.5996594175
1275181.0037209394,1275731.3037552563
1208133.790420164,1207903.7290884345
641999.7741866675,641598.5213656814
921705.1592282484,921369.5017869596
657679.935259807,658030.847238732
694758.5949431106,693534.8698061728
1554729.3082775949,1552431.7108749086
715883.7819753364,715659.3177903966
1032918.5316280787,1032843.5365160479
550323.5568161786,550572.4971702772
1077913.8031978512,1077517.1888240916
906941.0839762193,907182.6027750701
567600.1025523638,567263.7190183982
927393.1119605798,927368.56992706
974344.2677019788,974800.9600483937
1408833.0236573606,1409353.1666794892
549228.751595841,549434.955483261
961857.6140819818,962175.6232595737
1276080.4603093707,1276762.8624851205
776295.338055324,776478.6224777091
1337851.3168641105,1337963.5821281332
757517.9160824139,757632.2304001678
796091.1637035108,795897.6065179189
767806.8267753378,767152.4601181431
958433.7594236104,957911.4492789846
765892.7993658467,764770.841081964
675163.0093606524,675099.8855153944
1192059.3016994293,1192675.4913639787
555403.7519542266,555065.4462058395
1345241.476173155,1346198.8884939041
1436266.4960501683,1436279.5939618587
636264.9021762124,636617.6457307626
742767.3702071101,741954.9241586217
916990.1022578023,916753.5366802169
157743.4754732201,157376.78897274903
857781.1288391986,857119.5767075612
1384215.8890516325,1383922.6247908596
545534.7303107098,545156.3422454263
882911.4155275384,882739.5838167757
722522.5564719412,722276.5701664138
520020.42626835493,520119.2870425217
579873.1467072887,580188.5699260095
788344.6843034857,788391.445264543
1911472.4077235283,1912868.5178602468
937648.0189817887,936871.7388668611
665590.2818305569,665100.6186095506
475630.90827032767,475090.955627876
543053.4306768377,543110.9479643865
891425.1655358212,891220.10230624
926335.021813315,926629.6678745167
630405.0152843731,630677.6404318918
1101768.1437021063,1101084.366555345
957102.3842694331,957119.8836037343
1000815.1653491529,999992.2205255834
775247.7453152596,774390.9572940093
1026819.3388937563,1026053.701437702
708422.4112694033,707503.0666892193
1120838.304369362,1121110.9575556642
850795.5766620103,850256.7196938168
704434.3646194167,704460.9689875522
1238633.7583224035,1239150.7065838445
1302614.1650489934,1302452.159175655
1515634.4918352854,1517485.8575228564
808337.9327522818,808351.7040389152
546664.4317779653,546035.0981302916
943229.2626719583,943156.334531458
949428.0414906942,948982.9627561914
1553526.9058291572,1555456.7213684232
1453241.7897319067,1453900.4272610024
744873.221928739,744215.8775634377
798582.3631875811,797963.4344265868
751520.8278691078,751736.9727660406
1112081.5033208346,1111983.6540534496
888111.8695285316,887495.1218313975
1806655.2451642444,1807913.1964158234
1559629.710249715,1560198.11817218
2377719.337590098,2378173.2923751334
835088.9593780609,835267.5222002554
517097.17693984363,517178.9168045868
916767.1160175186,917022.6668341784
672341.4694056899,672748.7897525869
818369.0893029942,818332.0370858188
2688840.57717055,2691261.7665761206
1221171.5673729023,1221304.770249254
1475773.032784025,1476900.8041144367
885828.950927634,885936.2885502947
1088216.9321145718,1087950.582704155
1063567.8122288492,1063708.069831601
730278.8911119573,729342.4097510527
1056075.9724909968,1056604.7763843208
544992.5119553942,545158.3569894619
1045300.8460255772,1043388.0622864302
956483.9259766447,956103.8420150587
735950.466238861,735758.0719291827
1770578.37920559,1771194.326145135
705426.3368641274,705331.3483860178
585514.5690100113,584624.2153769678
1497734.6301584842,1498256.5525384936
708678.4231544313,708282.5626703104
682369.6467026086,682366.7506118205
967348.4959488533,967713.9411040039
654347.6534509496,654098.6053275068
1038932.9045068109,1038501.1341582953
905657.9512678089,905598.3967656877
1007729.0448807819,1007912.4156377368
1163696.0016158614,1163996.0124223847
1673688.9591212096,1672661.650672338
2067669.8135943918,2068829.8883145836
659734.7091691055,659494.8819083632
937059.4076782537,934415.7511592126
1000911.0612132029,1000550.3269259479
514449.8835014581,514079.16360046115
502746.4280420233,502845.65331441077
792821.6184451509,792704.6011510806
614968.8889574751,615365.3673967894
400225.8329077299,399721.9507652429
1054897.7743433276,1055276.1079727842
813426.215508597,812734.9169864312
873832.028773099,874272.122074588
1046055.9773061845,1046492.2708822987
603415.3266571254,603665.4096184294
1167133.2959501185,1167478.3003312491
692284.7851961926,692163.8548179932
895410.5290463102,896097.295993658
599453.7362179486,599180.1835372732
1872873.3862729156,1873756.0093564023
721454.7627756458,720654.1725476205
608000.5300494464,608253.4712482431
983803.4971163264,983491.2338945828
1806828.4208596954,1807948.7484226953
873663.0643757773,872853.5474048785
791944.5561613457,791305.5016271151
606585.3843524447,606879.6933126103
1551348.673103758,1553035.528365836
1782430.8595022536,1784475.6107557574
502152.0229937325,500998.4802242731
2128136.1757518286,2129944.6318430193
747922.4606793966,748323.9857764409
340664.36293087306,340141.8968698282
690361.0993528824,690172.95517499
1410119.0571218214,1410647.306754274
652598.4452857885,651892.9449682175
811911.5212752372,811860.9364401973
1193936.0526142481,1194511.6361072275
487713.929781922,487766.005602678
2640967.342464545,2643452.0138474223
